Train_Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Test GM.	
0.937336	0.932135	0.005201	2.126382	29.901455	0.008309	
0.786904	0.723369	0.063535	2.058977	27.817926	0.007975	
0.640241	0.596982	0.043260	1.758166	29.253871	0.023374	
0.564313	0.517415	0.046898	1.040382	66.804317	0.376048	
0.522895	0.468393	0.054503	0.718181	75.701549	0.472766	
0.507870	0.438370	0.069500	0.579785	79.727827	0.555258	
0.478807	0.397089	0.081718	0.505061	81.905209	0.628556	
0.456689	0.369151	0.087538	0.442365	84.073205	0.697334	
0.448086	0.363358	0.084728	0.408624	85.143125	0.737411	
0.434631	0.342159	0.092472	0.374075	86.532145	0.769244	
0.415790	0.321118	0.094671	0.360404	87.198498	0.792767	
0.406914	0.311958	0.094955	0.342243	87.864852	0.810095	
0.390953	0.298199	0.092754	0.329498	88.240263	0.820259	
0.393356	0.300428	0.092928	0.325051	88.531206	0.832100	
0.386626	0.285822	0.100804	0.323818	88.606288	0.838002	
0.375272	0.281782	0.093490	0.319801	88.962928	0.852797	
0.359576	0.281339	0.078237	0.310525	89.216330	0.856891	
0.373475	0.281623	0.091852	0.295413	89.619897	0.863905	
0.364595	0.273084	0.091511	0.285381	89.995307	0.866281	
0.341095	0.259935	0.081159	0.279242	90.164242	0.868381	
0.367258	0.260742	0.106515	0.275655	90.473956	0.872854	
0.374607	0.267605	0.107002	0.274049	90.586579	0.873964	
0.359721	0.257645	0.102076	0.265974	90.717973	0.879873	
0.343930	0.254003	0.089927	0.262120	90.802440	0.880339	
0.362101	0.256680	0.105421	0.259912	90.933834	0.882436	
0.343737	0.245401	0.098336	0.258289	91.027687	0.884570	
0.370823	0.245234	0.125588	0.253483	91.187236	0.886936	
0.340892	0.248996	0.091895	0.257306	90.961990	0.886275	
0.347272	0.244262	0.103011	0.253588	90.999531	0.886413	
0.350080	0.240529	0.109551	0.252930	91.149695	0.886229	
0.350323	0.238626	0.111697	0.249982	91.159080	0.887043	
0.358583	0.239441	0.119141	0.249601	91.243548	0.890047	
0.338460	0.228179	0.110281	0.249476	91.243548	0.892257	
0.356159	0.226384	0.129775	0.248861	91.262318	0.890685	
0.341730	0.227771	0.113959	0.246004	91.337400	0.892518	
0.335292	0.218392	0.116900	0.245694	91.515720	0.894944	
0.354619	0.227623	0.126996	0.244719	91.478179	0.894072	
0.338057	0.218443	0.119614	0.246537	91.196621	0.889671	
0.347282	0.220965	0.126317	0.243302	91.384327	0.896089	
0.342340	0.214397	0.127943	0.242347	91.600188	0.900593	
0.350844	0.216594	0.134250	0.243654	91.609573	0.898227	
0.346493	0.221762	0.124730	0.241501	91.740967	0.900919	
0.343126	0.215259	0.127867	0.233244	92.022525	0.904653	
0.347520	0.214732	0.132788	0.230550	91.994369	0.905083	
0.344605	0.204916	0.139689	0.232160	91.947443	0.904685	
0.352631	0.215199	0.137432	0.237063	91.769122	0.903933	
0.341566	0.210432	0.131134	0.229178	91.909901	0.902375	
0.350527	0.215923	0.134604	0.228648	92.041295	0.902608	
0.345713	0.210038	0.135675	0.231355	91.994369	0.906070	
0.341549	0.207948	0.133601	0.230879	91.853590	0.900639	
0.348312	0.213880	0.134433	0.228535	92.041295	0.902176	
0.329977	0.203525	0.126452	0.229382	91.966213	0.900543	
0.341666	0.206766	0.134900	0.226091	92.050680	0.901188	
0.335096	0.200902	0.134195	0.224290	92.182074	0.902806	
0.323707	0.198095	0.125612	0.228572	92.050680	0.901900	
0.341959	0.208571	0.133388	0.226661	92.125763	0.903585	
0.328189	0.200611	0.127578	0.223800	92.322853	0.906552	
0.321555	0.188641	0.132914	0.220598	92.351009	0.908332	
0.334661	0.201119	0.133542	0.218678	92.548099	0.910650	
0.333010	0.194312	0.138698	0.222627	92.463632	0.907599	
0.337634	0.202047	0.135587	0.223574	92.351009	0.908110	
0.326238	0.186408	0.139830	0.224122	92.294697	0.908280	
0.333259	0.191122	0.142137	0.220975	92.369779	0.909911	
